FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TOR_estimatedOffensiveRating,TOR_offensiveRating,TOR_estimatedDefensiveRating,TOR_defensiveRating,TOR_estimatedNetRating,TOR_netRating,TOR_assistPercentage,TOR_assistToTurnover,TOR_assistRatio,TOR_offensiveReboundPercentage,TOR_defensiveReboundPercentage,TOR_reboundPercentage,TOR_estimatedTeamTurnoverPercentage,TOR_turnoverRatio,TOR_effectiveFieldGoalPercentage,TOR_trueShootingPercentage,TOR_usagePercentage,TOR_estimatedUsagePercentage,TOR_estimatedPace,TOR_pace,TOR_pacePer40,TOR_possessions,TOR_PIE,OPP_estimatedOffensiveRating,OPP_offensiveRating,OPP_estimatedDefensiveRating,OPP_defensiveRating,OPP_estimatedNetRating,OPP_netRating,OPP_assistPercentage,OPP_assistToTurnover,OPP_assistRatio,OPP_offensiveReboundPercentage,OPP_defensiveReboundPercentage,OPP_reboundPercentage,OPP_estimatedTeamTurnoverPercentage,OPP_turnoverRatio,OPP_effectiveFieldGoalPercentage,OPP_trueShootingPercentage,OPP_usagePercentage,OPP_estimatedUsagePercentage,OPP_estimatedPace,OPP_pace,OPP_pacePer40,OPP_possessions,OPP_PIE
42,87,0.483,11,30,0.367,29,40,0.725,10,37,47,25,5,4,11,22,124,117.4,121.6,117.0,118.6,0.4,2.9,0.595,2.27,17.8,0.25,0.792,0.51,10.417,10.8,0.546,0.593,1.0,0.196,104.52,102.0,85.0,102.0,0.5,117.0,118.6,117.4,121.6,-0.4,-2.9,0.581,2.78,18.6,0.208,0.75,0.49,8.701,8.8,0.551,0.602,1.0,0.203,104.52,102.0,85.0,102.0,0.5
46,91,0.505,12,24,0.5,23,28,0.821,6,27,33,26,9,5,7,27,127,120.6,123.3,122.2,124.0,-1.6,-0.7,0.565,3.25,18.9,0.217,0.727,0.467,7.596,7.8,0.571,0.615,1.0,0.199,105.46,103.5,86.25,103.0,0.473,122.2,124.0,120.6,123.3,1.6,0.7,0.707,2.42,20.6,0.273,0.783,0.533,11.364,11.5,0.573,0.648,1.0,0.199,105.46,103.5,86.25,104.0,0.527
44,95,0.463,17,44,0.386,13,20,0.65,9,29,38,29,10,6,4,15,118,118.2,120.4,120.2,122.4,-2.0,-2.0,0.659,5.8,21.0,0.222,0.66,0.426,5.01,5.1,0.553,0.568,1.0,0.197,99.8,98.0,81.67,98.0,0.491,120.2,122.4,118.2,120.4,2.0,2.0,0.674,1.81,20.5,0.34,0.778,0.574,16.032,16.3,0.585,0.62,1.0,0.199,99.8,98.0,81.67,98.0,0.509
52,91,0.571,15,38,0.395,13,19,0.684,14,39,53,43,12,5,17,18,132,125.3,126.9,98.5,99.0,26.8,27.9,0.827,2.15,26.5,0.386,0.765,0.589,18.983,19.2,0.654,0.664,1.0,0.193,104.48,103.5,86.25,104.0,0.652,98.5,99.0,125.3,126.9,-26.8,-27.9,0.595,1.47,18.0,0.235,0.614,0.411,16.409,16.5,0.511,0.528,1.0,0.199,104.48,103.5,86.25,103.0,0.348
45,94,0.479,13,32,0.406,16,19,0.842,12,27,39,35,7,5,11,17,119,117.4,121.4,124.6,127.3,-7.2,-5.8,0.778,3.18,23.6,0.314,0.698,0.489,10.852,11.2,0.548,0.581,1.0,0.199,101.26,98.5,82.08,98.0,0.464,124.6,127.3,117.4,121.4,7.2,5.8,0.729,2.92,24.3,0.302,0.686,0.511,11.862,12.1,0.621,0.648,1.0,0.198,101.26,98.5,82.08,99.0,0.536
39,87,0.448,9,33,0.273,24,28,0.857,11,35,46,30,9,6,12,16,111,110.6,109.9,117.2,121.0,-6.6,-11.1,0.769,2.5,21.2,0.286,0.854,0.544,11.962,11.9,0.5,0.559,1.0,0.201,101.78,100.5,83.75,101.0,0.477,117.2,121.0,110.6,109.9,6.6,11.1,0.773,2.43,24.2,0.146,0.714,0.456,13.561,14.0,0.614,0.656,1.0,0.196,101.78,100.5,83.75,100.0,0.523
43,90,0.478,9,27,0.333,9,13,0.692,10,31,41,26,3,5,11,12,104,107.5,110.6,118.8,117.7,-11.3,-7.1,0.605,2.36,19.6,0.245,0.64,0.444,11.373,11.7,0.528,0.543,1.0,0.199,95.9,95.0,79.17,94.0,0.45,118.8,117.7,107.5,110.6,11.3,7.1,0.592,3.22,20.9,0.36,0.755,0.556,9.466,9.4,0.561,0.559,1.0,0.198,95.9,95.0,79.17,96.0,0.55
44,86,0.512,8,29,0.276,18,22,0.818,15,36,51,30,4,4,17,16,114,114.4,118.8,101.3,101.0,13.1,17.7,0.682,1.58,20.7,0.386,0.72,0.564,19.061,19.8,0.558,0.596,1.0,0.194,98.7,97.0,80.83,96.0,0.594,101.3,101.0,114.4,118.8,-13.1,-17.7,0.462,1.38,14.3,0.28,0.614,0.436,13.303,13.3,0.483,0.523,1.0,0.199,98.7,97.0,80.83,98.0,0.406
40,77,0.519,10,31,0.323,14,25,0.56,3,29,32,30,8,6,14,19,104,105.1,104.0,123.0,123.8,-17.9,-19.8,0.75,2.14,22.7,0.068,0.62,0.362,14.141,14.0,0.584,0.591,1.0,0.2,100.32,100.5,83.75,100.0,0.423,123.0,123.8,105.1,104.0,17.9,19.8,0.654,2.43,22.4,0.38,0.932,0.638,13.774,13.9,0.594,0.603,1.0,0.196,100.32,100.5,83.75,101.0,0.577
50,87,0.575,18,34,0.529,17,24,0.708,9,38,47,39,3,9,14,18,135,130.4,133.7,125.0,125.5,5.3,8.2,0.78,2.6,25.7,0.279,0.727,0.531,14.484,14.9,0.678,0.692,1.0,0.197,102.96,101.5,84.58,101.0,0.537,125.0,125.5,130.4,133.7,-5.3,-8.2,0.667,4.57,21.7,0.273,0.721,0.469,6.839,6.9,0.57,0.591,1.0,0.199,102.96,101.5,84.58,102.0,0.463
47,96,0.49,14,39,0.359,22,30,0.733,17,21,38,32,12,0,10,21,130,127.2,131.3,140.0,136.0,-12.8,-4.7,0.681,3.2,21.2,0.396,0.615,0.489,9.785,10.1,0.563,0.595,1.0,0.2,99.66,99.5,82.92,99.0,0.462,140.0,136.0,127.2,131.3,12.8,4.7,0.692,2.4,24.5,0.385,0.604,0.511,15.445,15.0,0.703,0.707,1.0,0.202,99.66,99.5,82.92,100.0,0.538
47,93,0.505,6,32,0.188,16,21,0.762,14,28,42,32,7,2,14,21,116,113.5,117.2,122.9,121.4,-9.5,-4.3,0.681,2.29,21.6,0.383,0.806,0.566,13.693,14.1,0.538,0.567,1.0,0.196,99.52,98.5,82.08,99.0,0.472,122.9,121.4,113.5,117.2,9.5,4.3,0.682,1.88,22.4,0.194,0.617,0.434,16.529,16.3,0.639,0.678,1.0,0.198,99.52,98.5,82.08,98.0,0.528
37,86,0.43,14,37,0.378,15,17,0.882,8,38,46,29,3,8,14,18,103,103.5,105.1,116.2,114.3,-12.7,-9.2,0.784,2.07,21.2,0.24,0.833,0.531,14.073,14.3,0.512,0.551,1.0,0.201,97.92,98.0,81.67,98.0,0.458,116.2,114.3,103.5,105.1,12.7,9.2,0.805,4.71,24.0,0.167,0.76,0.469,7.264,7.1,0.539,0.575,1.0,0.199,97.92,98.0,81.67,98.0,0.542
